Vitesse,Pluie,Accident
"[160.46362638688936, 147.8785172496093, 163.03843898339812, 155.09463301947818, 153.8831124747398]","[0, 0, 0, 0, 0]",0
"[108.25596637407733, 96.20823803957663, 90.89312870304778, 93.60448003236336, 92.49612319355568]","[1, 1, 1, 1, 1]",0
"[96.92576892498901, 92.92005160994697, 94.63070591480184, 108.63038862676689, 106.68062434147826]","[1, 1, 1, 1, 1]",1
"[32.530612611630396, 70.23242295372935, 90.22358034187499, 107.10849372039303, 120.52096045552915]","[0, 0, 0, 0, 0]",0
"[8.63951387619033, 55.017310563684696, 77.03062096022198, 95.7809694589248, 97.5772119008405]","[1, 1, 1, 1, 1]",1
"[117.90309098839438, 117.61884992921594, 97.65868337761584, 107.9060780922255, 104.66606627148334]","[0, 0, 0, 0, 0]",0
"[7.850459607729721, 68.60918925951782, 89.49273167731536, 91.26258987159413, 91.05891833450751]","[1, 1, 1, 1, 1]",1
"[88.29689610973541, 92.59891711379578, 106.44711279674037, 99.67745035933223, 119.28247325586543]","[0, 0, 0, 0, 0]",0
"[52.82804668598757, 75.27511468726708, 93.16046281213923, 93.89268921468141, 93.5411603880337]","[1, 1, 1, 1, 1]",0
"[129.302536452985, 137.84140397920376, 122.89166861628101, 142.8541277360552, 139.23602742304055]","[1, 1, 1, 1, 1]",1
"[76.20566146101706, 92.8090713474935, 91.45818486961092, 103.01216078916566, 111.31739267256879]","[1, 1, 1, 1, 1]",1
"[115.70174404661341, 96.5663520223431, 102.75865215098952, 98.82764380814622, 112.1224247013025]","[0, 0, 0, 0, 0]",0
"[106.94073391521111, 109.62481859873229, 99.61845160357153, 108.4188469489862, 126.37712266397945]","[0, 0, 0, 0, 0]",0
"[187.14308180466466, 192.6500148574197, 188.1012370861549, 170.45194102869922, 176.76551789202173]","[1, 1, 1, 1, 1]",1
"[164.7802227020729, 175.1005579584762, 172.66852288650801, 164.51465695309355, 159.15934821318922]","[0, 0, 0, 0, 0]",0
"[167.8275654318843, 160.12065198983356, 165.3466160409111, 164.08339253112814, 172.93909198014853]","[0, 0, 0, 0, 0]",1
"[148.12457960604263, 133.0779182334629, 118.30233188870294, 116.68346445316297, 102.06234487362185]","[0, 0, 0, 0, 0]",0
"[74.05712083743741, 91.42912460842717, 93.31060324516595, 96.13424388388421, 96.60166123587072]","[0, 0, 0, 0, 0]",0
"[178.15565799835028, 162.76083241992848, 167.76352996376673, 159.33726491067875, 168.52825994884518]","[0, 0, 0, 0, 0]",0
"[162.90771111096169, 146.27267317313547, 136.40212865108703, 148.39436712901394, 154.09867973329514]","[1, 1, 1, 1, 1]",1
"[139.12897886174457, 122.12929774346584, 116.57671417103319, 134.8154013344553, 125.38583256875017]","[0, 0, 0, 0, 0]",1
"[86.3932683612169, 95.3987053576478, 94.34397643854658, 109.9790633751807, 106.50458871269035]","[0, 0, 0, 0, 0]",0
"[128.47635790536845, 140.92717174604132, 151.17755540657086, 143.67709737486376, 137.64531425824498]","[1, 1, 1, 1, 1]",1
"[136.31956464929254, 145.84084548072772, 145.52938411599766, 126.3129374155529, 119.09306647018867]","[1, 1, 1, 1, 1]",0
"[136.7038030917821, 131.1968616322505, 147.7168884565061, 148.9001378008619, 145.53242159849432]","[1, 1, 1, 1, 1]",1
"[140.40287502734364, 132.85751504306415, 113.14524494817435, 102.87100628236247, 102.48054124332293]","[0, 0, 0, 0, 0]",0
"[42.0297349799194, 82.34519909187496, 102.30634056705141, 99.2148507151745, 96.15010196738835]","[0, 0, 0, 0, 0]",0
"[41.713975834065394, 74.48732512137485, 94.33666245968178, 97.69023022374013, 102.48751197596597]","[1, 1, 1, 1, 1]",0
"[138.18569373474128, 133.77366821809042, 139.60483574210454, 155.00123762508042, 167.66388135424006]","[1, 1, 1, 1, 1]",0
"[168.50682682538397, 151.58764515249936, 138.40689324209612, 125.84534790400681, 112.16529120576756]","[0, 0, 0, 0, 0]",1
"[167.4048435440995, 158.45228179635603, 161.07178527840227, 173.15481611199803, 190.57389364481563]","[0, 0, 0, 0, 0]",0
"[57.982116730661204, 85.28169372489594, 99.96510509369121, 113.27319008406775, 94.40699878918917]","[0, 0, 0, 0, 0]",0
"[34.46868064701174, 70.08121531563235, 90.03067195874807, 97.70726198290153, 91.01675278168756]","[0, 0, 0, 0, 0]",0
"[42.31746283777789, 82.29169602571953, 90.15256271036522, 103.88741810518181, 111.05140533796245]","[1, 1, 1, 1, 1]",0
"[165.4168650675835, 171.04752979812025, 151.35103275850093, 131.62491887229095, 120.39408436307514]","[1, 1, 1, 1, 1]",1
"[4.294540125106572, 50.83825315970166, 74.09607261711125, 90.48273931471259, 100.22976213917416]","[1, 1, 1, 1, 1]",1
"[67.32041831465519, 88.97372571049864, 105.87696798059227, 104.94216835025475, 120.02522814546016]","[0, 0, 0, 0, 0]",0
"[188.58416848479695, 178.57042779526395, 172.94131267757987, 172.608139600457, 159.6534008232673]","[1, 1, 1, 1, 1]",1
"[30.136106050266974, 67.97530595719493, 88.6139925578565, 108.29116421555173, 98.38489573671508]","[0, 0, 0, 0, 0]",0
"[179.35138839373522, 167.72205455665042, 185.5186113109054, 197.77925821671496, 179.20079090614598]","[0, 0, 0, 0, 0]",1
"[172.73194158195486, 182.52362059464488, 163.56759658955414, 171.2770142604679, 164.9003967981149]","[1, 1, 1, 1, 1]",1
"[141.78050920143076, 150.90560181729595, 137.33914979745515, 119.42268175240976, 113.26646521697975]","[0, 0, 0, 0, 0]",1
"[9.947764316827644, 56.06982077491137, 89.42818198991381, 108.28972502448788, 120.06069613097569]","[0, 0, 0, 0, 0]",0
"[58.39160339700913, 84.53187727600218, 100.80753860475245, 113.12581175252245, 122.06496253597084]","[1, 1, 1, 1, 1]",0
"[113.87029336334793, 120.23567412778068, 118.16046452793586, 105.37634177270188, 92.7101660254278]","[1, 1, 1, 1, 1]",0
"[130.02364457513764, 148.40973164541015, 134.69319610078318, 132.16197605969666, 148.38318282952562]","[1, 1, 1, 1, 1]",1
"[179.15494489305095, 168.0161410662629, 167.5508667209186, 164.97341687542985, 149.48857622583637]","[0, 0, 0, 0, 0]",0
"[12.584945096688704, 79.80165816190394, 97.6096714106792, 94.25536407392768, 108.57854076953511]","[1, 1, 1, 1, 1]",0
"[174.44715907194146, 173.35216743781498, 165.84001877533476, 182.10345057989034, 177.6658944380831]","[1, 1, 1, 1, 1]",1
"[162.48080328214206, 176.44922254153846, 158.99731596230114, 175.7032404960887, 172.54310833125848]","[1, 1, 1, 1, 1]",1
"[35.77387483563299, 56.60161148252952, 79.99899765492256, 91.9799643999163, 92.30477615403002]","[1, 1, 1, 1, 1]",0
"[143.55993456163466, 153.55339328820452, 164.34983349913034, 148.8645319425381, 137.3425737171601]","[1, 1, 1, 1, 1]",1
"[168.51690119208288, 179.2970981073285, 197.4489381892696, 194.05783938821327, 174.32427441371053]","[0, 0, 0, 0, 0]",0
"[28.25385576958841, 59.12226635625566, 81.92908532679367, 93.4483583804171, 99.22283597223478]","[0, 0, 0, 0, 0]",0
"[8.566911795915866, 68.55730560372388, 88.64115390162125, 91.99099127789998, 92.53291108498806]","[1, 1, 1, 1, 1]",1
"[1.9177212744972305, 88.46140788684033, 104.541972970008, 117.65882374824889, 107.06329108173813]","[0, 0, 0, 0, 0]",0
"[136.79576665730335, 128.4979331989983, 141.51086150813757, 132.12740286453027, 139.30585887607822]","[1, 1, 1, 1, 1]",1
"[40.60760218724022, 72.64587949996779, 90.78233552890181, 98.2147999561769, 104.16127357773573]","[0, 0, 0, 0, 0]",0
"[41.01616309136842, 83.87258410341822, 93.3818338121737, 110.64048172106469, 126.75736191988125]","[0, 0, 0, 0, 0]",0
"[99.56360504223211, 91.86868596267759, 98.58422835181011, 111.27272556938756, 96.4670871412399]","[0, 0, 0, 0, 0]",0
"[110.99606764053785, 123.7286112629441, 132.50602368483237, 140.15778296122284, 138.50849538580835]","[0, 0, 0, 0, 0]",0
"[186.028110306072, 185.73133794390105, 166.44164720985862, 165.96298020021374, 152.62901120893912]","[1, 1, 1, 1, 1]",0
"[9.809032434006838, 31.688004965853658, 68.61755001244563, 89.95675924123269, 103.56479354303185]","[0, 0, 0, 0, 0]",0
"[25.55810400340821, 60.0859306684153, 82.24121307002228, 96.02312654025215, 106.13402201879683]","[0, 0, 0, 0, 0]",0
"[35.79123784830329, 89.45994044854373, 99.13709957198006, 90.84719949455902, 95.63866689232412]","[0, 0, 0, 0, 0]",0
"[193.7866410426111, 174.21674603816993, 158.3265712184036, 145.21188482473656, 142.18708874750985]","[1, 1, 1, 1, 1]",1
"[61.03298921723073, 89.69597743034777, 100.6363785093917, 91.3460447022439, 103.17617331224454]","[0, 0, 0, 0, 0]",0
"[129.16216585271852, 135.60231991939747, 131.03782245072944, 150.77571854339993, 162.20595924653836]","[1, 1, 1, 1, 1]",1
"[57.451956970128435, 84.17821289954935, 90.85706078478213, 93.04924105727768, 90.7954011416665]","[0, 0, 0, 0, 0]",0
"[182.64442330486085, 170.44125206822577, 187.8488247909435, 182.65746932389257, 164.16800649182605]","[0, 0, 0, 0, 0]",1
"[40.92315999207739, 63.11299064796914, 84.23199288177247, 95.87328824731598, 114.37213026574248]","[1, 1, 1, 1, 1]",0
"[166.31232497811678, 151.34940212334308, 168.29799062607887, 149.20202640221956, 155.2734886839923]","[1, 1, 1, 1, 1]",1
"[133.8465089710051, 120.59121963464665, 125.68852815442962, 140.86643674637293, 159.95315752591927]","[0, 0, 0, 0, 0]",0
"[71.70141642341935, 91.24109279432646, 108.98840761793132, 112.70021179526637, 114.27823342064158]","[0, 0, 0, 0, 0]",0
"[125.3062584424236, 124.92978817397888, 127.6890571580254, 107.70634670673785, 122.67117321850414]","[1, 1, 1, 1, 1]",0
"[35.2368849967418, 88.08348831591516, 95.5431737652219, 91.5090027668291, 93.36038248333992]","[1, 1, 1, 1, 1]",1
"[30.905763529145958, 89.17205244175004, 91.03470803489678, 97.72276175486593, 98.50229873095007]","[1, 1, 1, 1, 1]",0
"[76.62215822418617, 93.88675201099078, 107.2652846189026, 120.71425172904492, 121.51970414317113]","[1, 1, 1, 1, 1]",0
"[137.854596261217, 144.88862102976407, 153.14115447856514, 141.4299221590964, 149.12026853726047]","[0, 0, 0, 0, 0]",1
"[177.07014345939746, 158.904926584623, 139.15870639128389, 140.47659202732657, 126.52092270556804]","[0, 0, 0, 0, 0]",1
"[145.96441315062674, 127.71970062317035, 131.257851657506, 113.13603048031744, 113.34642039542732]","[0, 0, 0, 0, 0]",0
"[190.04044588668998, 184.61268461813506, 164.6129291979992, 145.83837673815046, 154.79464717733734]","[1, 1, 1, 1, 1]",1
"[187.2828416177132, 173.3917114106365, 182.6945322498754, 188.88249738821844, 193.91156580948282]","[0, 0, 0, 0, 0]",0
"[85.64387377906988, 96.79638590744159, 112.62177484510586, 108.00333071717549, 92.27149059341826]","[0, 0, 0, 0, 0]",0
"[33.01481513392097, 79.60615806152366, 92.90174893290519, 95.25479582918119, 97.60145590146217]","[1, 1, 1, 1, 1]",0
"[139.12406568062488, 156.0981398813258, 168.15279190194343, 162.04080951182192, 172.54225001922367]","[1, 1, 1, 1, 1]",1
"[25.844172297826873, 54.37643049600057, 83.34495343909921, 90.22135613240305, 96.41946662479462]","[0, 0, 0, 0, 0]",0
"[176.97220292696926, 188.32195213498977, 194.77610380335966, 180.54274243708173, 168.02947465750995]","[1, 1, 1, 1, 1]",1
"[174.84605505081836, 164.2653145418526, 167.9829881624917, 186.92959494656347, 184.97150162631377]","[1, 1, 1, 1, 1]",0
"[146.59005840072527, 157.06475623876503, 175.92516425655276, 189.0124449157172, 190.53655018178335]","[1, 1, 1, 1, 1]",1
"[137.33404516322346, 117.44337128348118, 124.98732601311363, 133.6947847539983, 133.7685836174273]","[0, 0, 0, 0, 0]",0
"[166.5441098349126, 159.33080303872535, 161.94373800407575, 157.70712697780436, 144.50416875480687]","[1, 1, 1, 1, 1]",1
"[182.66839266595414, 180.76899604108542, 188.88796089699514, 183.37330441238214, 166.5467872282825]","[1, 1, 1, 1, 1]",1
"[119.1392689228715, 131.2106968641719, 117.4286104781572, 100.80754092975208, 104.8857851629228]","[1, 1, 1, 1, 1]",1
"[165.9645784369246, 185.50556348769067, 181.9306434096099, 165.72095832410946, 163.04587883254956]","[1, 1, 1, 1, 1]",1
"[50.94442715102026, 81.99737896971723, 100.04384361935873, 94.05329314311433, 112.10866859424473]","[1, 1, 1, 1, 1]",0
"[10.270390549888809, 58.449701617268374, 85.57186369303847, 90.62469673606026, 93.04461464064116]","[1, 1, 1, 1, 1]",0
"[11.449107559888617, 79.15002467105103, 97.95553232125779, 91.21305661051834, 98.51881592355429]","[1, 1, 1, 1, 1]",1
"[51.34622699728324, 78.84862711661586, 93.84667898368761, 109.31031016212582, 116.6826920662326]","[1, 1, 1, 1, 1]",1
"[158.27028945207738, 150.23463636063545, 147.95888030929612, 160.87848635527416, 173.52390001550089]","[1, 1, 1, 1, 1]",1
"[109.20842629188844, 126.1675984414774, 126.89898247029825, 110.79723780012829, 91.80291936914908]","[0, 0, 0, 0, 0]",0
"[186.7794010910673, 194.69326326914995, 196.29741182052817, 189.81609358058182, 198.65537568701436]","[1, 1, 1, 1, 1]",0
"[108.33729322549081, 125.36006893892218, 118.4063577996217, 105.24478841004183, 91.60621318760259]","[1, 1, 1, 1, 1]",1
"[94.01772300238733, 110.4152244325092, 120.5688098094972, 109.91600636952377, 102.49586759873657]","[1, 1, 1, 1, 1]",1
"[58.17263611670336, 84.08153304440859, 94.55656493873836, 110.42102830659634, 113.9957896151408]","[0, 0, 0, 0, 0]",0
"[53.02118277731722, 88.59288517455923, 104.59643253007505, 105.25009148767954, 114.64848208278542]","[1, 1, 1, 1, 1]",1
"[106.86950217385099, 96.71494167352628, 112.85642543693606, 123.06564459714413, 119.68507887037251]","[0, 0, 0, 0, 0]",0
"[88.63810969447223, 101.12714373298557, 98.54886349452337, 90.32607239480316, 106.2590689925249]","[1, 1, 1, 1, 1]",0
"[24.147915925111985, 44.41876999934432, 70.21430710028686, 90.16240592204493, 107.81352011177782]","[0, 0, 0, 0, 0]",0
"[126.00258856145213, 129.94165689581266, 115.01720723060738, 105.13352588645063, 124.02256372610125]","[1, 1, 1, 1, 1]",1
"[48.079975684233055, 80.7614610023836, 94.15585858210332, 98.91595851802394, 114.28363157243871]","[1, 1, 1, 1, 1]",0
"[100.9327295424701, 120.10350602824354, 113.83235841075903, 107.1235690940354, 114.85172364539098]","[1, 1, 1, 1, 1]",0
"[82.10355575267376, 90.37071234154155, 90.03963913464354, 101.73368704287809, 106.53761672857564]","[0, 0, 0, 0, 0]",0
"[68.34315317479695, 89.80205259838782, 106.13351785311593, 94.52856681247648, 100.99533347897355]","[1, 1, 1, 1, 1]",1
"[183.38072333106373, 184.01213045978668, 192.16817648136174, 193.99421774437621, 182.07908674411175]","[0, 0, 0, 0, 0]",0
"[81.96669164998553, 92.72624992640071, 106.93288433909812, 97.4816554762688, 113.77363376433837]","[1, 1, 1, 1, 1]",0
"[90.32868772509856, 109.40791528233117, 101.43820379951778, 110.62700960348114, 97.20603343097574]","[1, 1, 1, 1, 1]",1
"[78.53298976886846, 95.958428865257, 99.56790276564318, 90.79816982358956, 103.77726380496017]","[0, 0, 0, 0, 0]",0
"[192.8041626776077, 188.30785202409396, 182.94216609064318, 193.4709591493988, 197.17822927278425]","[0, 0, 0, 0, 0]",1
"[168.77436667731342, 151.65288000272233, 160.63962715137674, 172.2910885681757, 164.9458977623681]","[1, 1, 1, 1, 1]",0
"[155.69636683096485, 159.72527975420937, 140.41998531091158, 151.67045342142603, 145.82667788389531]","[0, 0, 0, 0, 0]",0
"[121.8516932368656, 121.00850134931372, 120.87562235864205, 104.2722826606861, 119.3382146091097]","[0, 0, 0, 0, 0]",0
"[93.19386716155549, 109.7313065400255, 129.5463057339328, 145.29104790905654, 147.15567758083762]","[1, 1, 1, 1, 1]",1
"[158.5035370435969, 156.88705408574296, 158.01056893913196, 176.1672509006922, 179.271149538641]","[0, 0, 0, 0, 0]",0
"[169.38462160272508, 156.4399608228492, 173.92505626674821, 167.3601344252272, 169.46989276876846]","[1, 1, 1, 1, 1]",1
"[86.95259823218665, 105.39092695297248, 101.69056895796032, 121.65522719970446, 113.56111069175984]","[1, 1, 1, 1, 1]",0
"[19.62490348115662, 40.21758560718933, 61.77588340435947, 83.61112371977164, 92.29373591334576]","[1, 1, 1, 1, 1]",0
"[92.02914793385189, 102.3445896628707, 100.56129333799203, 100.61592603062603, 90.79434829251294]","[1, 1, 1, 1, 1]",1
"[55.62480130230527, 83.8492107414233, 100.1144452487994, 91.73730798951524, 99.76528394293751]","[1, 1, 1, 1, 1]",0
"[185.40958861701955, 192.2454580195873, 184.51366306168148, 170.6675553032481, 165.43119158716348]","[0, 0, 0, 0, 0]",0
"[89.11831109832823, 93.2874753911561, 99.51956112803639, 103.83577525901768, 109.26451777834416]","[0, 0, 0, 0, 0]",0
"[116.78792021508255, 130.43558446685506, 140.12120371658503, 129.1724064889659, 117.04454937181524]","[0, 0, 0, 0, 0]",0
"[124.8810783068967, 117.21359472719406, 101.0443228677988, 109.457016705367, 128.92042288045073]","[1, 1, 1, 1, 1]",1
"[151.7407460470459, 149.7081200549078, 166.65157763787235, 163.4516277209569, 176.88085159070215]","[1, 1, 1, 1, 1]",1
"[51.362241489960184, 85.80029335940031, 98.32118367986965, 113.57351954730206, 128.81596137054493]","[1, 1, 1, 1, 1]",0
"[172.46055917765776, 165.7529365195725, 175.05752110239834, 179.68427605471703, 197.18038944477362]","[0, 0, 0, 0, 0]",0
"[86.87000263004667, 101.2375321183665, 121.18670912513602, 139.72904425446933, 135.62051138971574]","[0, 0, 0, 0, 0]",0
"[1.990304359342554, 22.70205784011644, 71.55381151970076, 91.15742829227791, 95.11135320863818]","[0, 0, 0, 0, 0]",0
"[175.77766618157406, 173.23113904071147, 156.08468354004873, 167.2790360550818, 185.05095585694676]","[0, 0, 0, 0, 0]",0
"[93.13633922353822, 103.8708541143707, 97.89818268510177, 112.55515088795073, 130.9370408798603]","[0, 0, 0, 0, 0]",0
"[109.08449210179086, 102.8934319784519, 93.90991606403138, 97.8060665908746, 112.89009197198313]","[0, 0, 0, 0, 0]",0
"[101.51305419489474, 91.67585192235387, 93.22604073806029, 100.3282235585543, 92.78882807208718]","[0, 0, 0, 0, 0]",0
"[184.41157727775894, 183.2285758821145, 173.79593033470252, 161.95234366763452, 145.04498637183562]","[1, 1, 1, 1, 1]",1
"[57.28061168537655, 81.66570407149241, 90.10746551916966, 106.58544910805162, 99.28815389960292]","[1, 1, 1, 1, 1]",1
"[176.31108986415697, 162.6998716372812, 162.3792716244302, 159.71926359475725, 168.6755335658511]","[0, 0, 0, 0, 0]",0
"[136.08519189909154, 140.4780501885233, 132.89710048759358, 147.29745446724218, 159.81584582731918]","[0, 0, 0, 0, 0]",0
"[21.958547472369293, 60.72684621250919, 81.26370428755749, 97.27830524180885, 114.77713999081911]","[0, 0, 0, 0, 0]",0
"[187.36575050058272, 179.3656425205119, 192.30502940458823, 187.34815305773157, 199.4437548779319]","[1, 1, 1, 1, 1]",1
"[71.10039777177386, 90.86074909209037, 93.44675201113773, 105.92547734443211, 119.05329565877037]","[0, 0, 0, 0, 0]",0
"[98.05438396957568, 103.56724578851914, 117.46737984502609, 120.42211011719638, 127.84596791573321]","[1, 1, 1, 1, 1]",0
"[102.12219225024049, 118.19709757043071, 130.01564745242732, 145.29844582941368, 160.32912902538763]","[1, 1, 1, 1, 1]",1
"[199.16233547095956, 181.34915892895793, 169.66846860831373, 160.17712677325548, 174.96816594533158]","[0, 0, 0, 0, 0]",1
"[159.22662606532592, 167.69748297730825, 159.50225546869402, 149.27728081073568, 140.86314959944937]","[1, 1, 1, 1, 1]",1
"[189.16269187218128, 197.83498164724142, 183.7555796856705, 186.0908291793606, 177.41224998648318]","[0, 0, 0, 0, 0]",0
"[135.53291606837305, 144.0276567068676, 160.32584952698116, 173.41744976854434, 154.0738645699779]","[0, 0, 0, 0, 0]",1
"[132.74650129323385, 150.49241807262894, 154.12204908038285, 148.46680648153054, 129.22048260406086]","[1, 1, 1, 1, 1]",1
"[156.64350996864243, 170.85339928137338, 181.0203551225973, 162.3422699799928, 181.40430029356435]","[1, 1, 1, 1, 1]",1
"[160.06571769143824, 154.0409432452164, 161.29139349067273, 146.0994299237981, 149.79340383408856]","[0, 0, 0, 0, 0]",0
"[62.89217608579123, 89.36324700471016, 94.8627535560325, 105.78175913464915, 91.0895633124634]","[1, 1, 1, 1, 1]",0
"[51.298611297034235, 85.74660569749834, 104.2124156058593, 111.29293511211014, 129.38856490746412]","[0, 0, 0, 0, 0]",0
"[182.3031833019385, 198.6210053533665, 193.63654885275912, 177.8353573259004, 195.65393348365237]","[0, 0, 0, 0, 0]",1
"[65.83735841732512, 88.60920954158846, 105.00228311467876, 106.72915397800443, 118.9833191012114]","[0, 0, 0, 0, 0]",0
"[106.32597828025767, 94.33823884609306, 100.7892710270463, 120.63915402017493, 134.62214124858684]","[1, 1, 1, 1, 1]",1
"[130.20403082864982, 134.45352656535493, 147.21429591589435, 151.93530212192425, 158.95003836645736]","[0, 0, 0, 0, 0]",0
"[50.59145500025093, 78.06765983541898, 92.17163688568739, 95.93276888755041, 111.35573602352201]","[0, 0, 0, 0, 0]",0
"[113.57990465262344, 132.46642050318013, 135.13292529440116, 128.12835787956828, 111.00296468138696]","[0, 0, 0, 0, 0]",0
"[73.98250200086167, 91.75060860701895, 109.28225055297624, 125.83331913319631, 121.34932574585461]","[1, 1, 1, 1, 1]",1
"[89.58795789752504, 94.71999467714633, 109.31383069356218, 96.75767843055719, 96.1371358003159]","[1, 1, 1, 1, 1]",1
"[26.737932546786425, 62.11434783602297, 88.26590174204195, 92.37154159719222, 90.38651592236354]","[0, 0, 0, 0, 0]",0
"[21.92708180674692, 75.6979856092313, 91.15372132281895, 102.23730160650382, 100.61330950091123]","[1, 1, 1, 1, 1]",1
"[174.9326251473361, 169.0700783762803, 158.70493078883234, 178.06839252218174, 181.3392226415616]","[0, 0, 0, 0, 0]",1
"[132.4807293548986, 141.62719041418092, 132.85968247064815, 142.49705721191842, 125.22421773385967]","[0, 0, 0, 0, 0]",1
"[54.56417926388368, 81.05854157090806, 100.96465749030509, 118.63518642459306, 120.38420368297098]","[0, 0, 0, 0, 0]",0
"[50.40650630801524, 71.33064283912354, 90.32855369099317, 108.28070847818738, 106.33792256560231]","[0, 0, 0, 0, 0]",0
"[86.60286276757007, 103.76146783898025, 93.63702372981724, 111.48284479211661, 119.33335792960571]","[0, 0, 0, 0, 0]",0
"[119.01786081172443, 117.40863232081225, 133.09102822288673, 137.66789926032797, 142.95229284355798]","[1, 1, 1, 1, 1]",1
"[61.270236352694575, 88.75666786140444, 98.04995154617797, 106.42189608611864, 101.94398427737616]","[1, 1, 1, 1, 1]",0
"[60.80518605833256, 85.39314527724456, 101.13499288945907, 107.86532839854277, 104.50330571687624]","[0, 0, 0, 0, 0]",0
"[117.35395129779181, 108.72199335697894, 93.13596680928721, 101.898123388034, 112.56913510259662]","[0, 0, 0, 0, 0]",0
"[71.56159469744925, 90.80166424805718, 90.18847674172628, 100.87274944082631, 93.70204105317542]","[1, 1, 1, 1, 1]",1
"[121.72380534912787, 137.07182615343945, 135.88011305848866, 134.34161562035973, 144.18891538660404]","[1, 1, 1, 1, 1]",1
"[61.99855499068718, 87.45130994446731, 95.8403725621847, 92.44234753255174, 96.71784754671599]","[0, 0, 0, 0, 0]",0
"[137.8762279292723, 139.91194182271502, 128.12089266543717, 121.65103495009748, 121.50786058221489]","[0, 0, 0, 0, 0]",1
"[199.82075972894106, 189.17681752401734, 193.10743418251928, 194.65401892921537, 175.53445156722256]","[1, 1, 1, 1, 1]",0
"[13.402695529601738, 83.53733551448107, 92.10281463679979, 94.6784803674057, 92.272646150712]","[1, 1, 1, 1, 1]",1
"[157.0587057678598, 137.27549460579274, 140.0882027779573, 129.71188824625696, 139.21632580774468]","[1, 1, 1, 1, 1]",1
"[101.98313148563163, 90.75261374014049, 90.21248976641643, 101.88846675280638, 114.4917579247917]","[1, 1, 1, 1, 1]",0
"[152.39970862767007, 154.5478885814443, 150.41878241657696, 167.50933399485947, 169.21358048031814]","[0, 0, 0, 0, 0]",1
"[186.27401360058056, 196.92047756466744, 197.37580141211444, 183.50202783655516, 181.7052594304639]","[0, 0, 0, 0, 0]",0
"[81.72614642455113, 99.79829869169848, 115.55501759953798, 106.38444118227912, 120.09237003386757]","[0, 0, 0, 0, 0]",0
"[32.219056735495855, 60.20469477146591, 83.69020838274396, 94.27180110147138, 113.3881926068798]","[1, 1, 1, 1, 1]",1
"[0.8967531434008968, 84.88019982308215, 101.09390761487131, 112.1070569266247, 108.74279450323303]","[0, 0, 0, 0, 0]",0
"[135.43758593023975, 133.6383736671928, 141.2008776120213, 143.70705286643062, 158.1168140878051]","[0, 0, 0, 0, 0]",1
"[29.72928643101116, 72.00367782866546, 90.57549752697182, 103.27647035592778, 121.0266750364253]","[1, 1, 1, 1, 1]",1
"[89.56779942308944, 106.76502592478398, 123.85809787331984, 116.0135209211509, 132.08728608160266]","[0, 0, 0, 0, 0]",1
"[135.267662010747, 141.16321695569502, 128.93755689129938, 111.56710022471239, 115.53003959582745]","[0, 0, 0, 0, 0]",1
"[15.31626166090929, 55.628395627679936, 78.89284936218907, 90.22324577804844, 90.1211146808353]","[1, 1, 1, 1, 1]",1
"[106.07704514004965, 113.82547948739457, 122.04252871535618, 133.29705237514577, 136.863908062426]","[1, 1, 1, 1, 1]",1
"[27.283664288832156, 63.61940886859948, 85.58235825184744, 96.36689503263261, 104.00276569481875]","[1, 1, 1, 1, 1]",1
"[102.8639287114545, 111.08187097404092, 129.42809241081625, 119.47488702560617, 109.88026869410045]","[0, 0, 0, 0, 0]",0
"[194.24468490389768, 177.10212470044365, 188.92587794767473, 169.63369186075184, 158.05426329154372]","[1, 1, 1, 1, 1]",1
"[118.85308590976547, 123.09870490215246, 116.55274644151069, 116.65500093867705, 114.97681903820609]","[1, 1, 1, 1, 1]",0
"[38.099742447329255, 80.20144545738245, 93.03492408995119, 97.34089415410996, 105.39799404361837]","[1, 1, 1, 1, 1]",0
"[165.86990508967492, 168.3159243911967, 162.3199989439069, 179.07988595626657, 177.61131506244192]","[1, 1, 1, 1, 1]",1
"[2.7217224680826435, 78.49262768064476, 93.31071056103023, 98.52819003837966, 97.28537772614322]","[1, 1, 1, 1, 1]",0
"[28.752009448346485, 62.33045899757339, 88.81010949992695, 103.78782402282104, 112.77009480077797]","[0, 0, 0, 0, 0]",0
"[181.96571286866472, 180.56571935652389, 195.45740356400256, 194.49311409672242, 187.53228805290283]","[1, 1, 1, 1, 1]",1
"[69.66256361573595, 89.8695306879637, 101.06954242600402, 90.78218343490322, 109.62332314516388]","[1, 1, 1, 1, 1]",1
"[66.96072277252458, 89.68727476367394, 96.70530437125464, 115.07136584435493, 96.8828850845023]","[1, 1, 1, 1, 1]",0
"[43.799492383609426, 69.24771307169418, 89.90654001090006, 97.43178024514499, 106.08581678999104]","[0, 0, 0, 0, 0]",0
"[117.08223957286637, 114.6006175577921, 118.08992886547139, 119.45071139839918, 118.01781590113646]","[0, 0, 0, 0, 0]",0
"[7.283544735065339, 41.83407285089377, 70.90729144321978, 90.04451426168372, 91.25570098692549]","[1, 1, 1, 1, 1]",1
"[145.00521633066634, 150.1276603344835, 155.36253956596016, 153.53062557314504, 152.24250875780197]","[0, 0, 0, 0, 0]",1
"[172.06711567855868, 167.78394950206007, 180.55211325215853, 172.19377177495764, 176.15743523193532]","[0, 0, 0, 0, 0]",1
"[33.54697781886613, 67.97669377497151, 88.9118177380966, 94.72255371248261, 111.8226540775668]","[1, 1, 1, 1, 1]",1
